iteracion,epoch,mh,tipo,lcoe_best,lcoe_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
177,4,ILS,trayectoria,0.2671595858011802,0.2843124278373496,True,False,0.009666666666666657,0.0,0.009666666666666657,3.0,15.0,9.0,35,0,36,Explotacion activa
178,4,ILS,trayectoria,0.2671595858011802,0.2843124278373496,True,False,0.009666666666666657,0.0,0.009666666666666657,3.0,15.0,9.0,36,0,37,Explotacion activa
179,4,ILS,trayectoria,0.2671595858011802,0.2808552948659592,True,False,0.009666666666666657,0.0,0.009666666666666657,3.0,15.0,9.0,37,0,38,Explotacion activa
180,4,ILS,trayectoria,0.2671595858011802,0.2790954547576905,True,False,0.009666666666666657,0.0,0.009666666666666657,0.0,0.009666666666666657,0.009666666666666657,38,1,39,Explotacion activa
181,4,ILS,trayectoria,0.2671595858011802,0.2790954547576905,True,False,0.009666666666666657,0.0,0.009666666666666657,0.0,0.009666666666666657,0.009666666666666657,39,2,40,Explotacion activa
182,4,ILS,trayectoria,0.2671595858011802,0.2790954547576905,True,True,0.009666666666666657,0.0,0.009666666666666657,0.0,0.009666666666666657,0.009666666666666657,40,3,41,ESTANCAMIENTO (Fire)
183,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
184,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
185,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
186,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
187,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
188,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
189,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
190,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
191,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
192,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
193,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
194,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
195,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
196,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
197,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
198,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
199,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
200,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
201,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
202,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
203,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
204,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
205,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
206,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
207,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
208,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
209,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
210,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
211,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,,,,,0,0,0,Llenando ventana
212,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,0.009666666666666657,,,,0,0,0,Llenando ventana
213,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,0.009666666666666657,,,,0,0,0,Llenando ventana
214,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,0.009666666666666657,,,,0,0,0,Llenando ventana
215,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,0.009666666666666657,,,,0,0,0,Llenando ventana
216,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,0.009666666666666657,,,,0,0,0,Llenando ventana
217,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,0.009666666666666657,,,,0,0,0,Llenando ventana
218,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,0.009666666666666657,,,,0,0,0,Llenando ventana
219,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,0.009666666666666657,,,,0,0,0,Llenando ventana
220,5,PSO,poblacional,0.2671595858011802,0.2671595858011802,False,False,,,0.009666666666666657,,,,0,0,0,Llenando ventana
